component_id,path,layer,alpha_specific,survives_if_contract_met,survives_if_contract_violated,contract_dependency,swap_evidence,stateful,doc_status,impl_evidence,divergence,swing_transfer_label,intraday_transfer_label,last_phase
R09_TURNOVER_SR_COST,syscore/pandas/strategy_functions.py:turnover;systems/accounts/account_costs.py,RESEARCH,N,Y,PARTIAL,Full-sample average of |diff(forecast/10)| on a 1B resample x cost per trade. B: held/ffilled signals understate turnover,INFERRED,N,DOCUMENTED,VERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
R10_FORECAST_PANDL_PROXY,systems/accounts/account_forecast.py:pandl_for_instrument_forecast,RESEARCH,N,Y,PARTIAL,Converts a forecast to a notional position (forecast/10 x avg position); delayfill. B: not the rule's intended trade path,INFERRED,N,DOCUMENTED,VERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
R11_SPEED_LIMIT_COST_CEILING,systems/forecast_combine.py:_cheap_trading_rules_generic (ceiling_cost_SR),RESEARCH,N,Y,PARTIAL,"Drops rules whose SR cost > ceiling (defaults 999/9999, i.e. OFF). Relies on R09 turnover",INFERRED,N,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
P01_POSITION_SIZING,systems/positionsizing.py:get_subsystem_position,PORTFOLIO_RISK,N,Y,PARTIAL,pos = vol_scalar x forecast/10 (l.128). B: can size a fixed-risk event signal but has no entry/exit/stop semantics,INFERRED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
P02_INSTRUMENT_WEIGHTS_APPL,systems/portfolio.py:get_notional_position_without_idm;get_instrument_weights,PORTFOLIO_RISK,N,Y,Y,Multiplies subsystem position; smoothed EWM 125. Independent of signal form,INFERRED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
P03_IDM_APPLICATION,systems/portfolio.py:get_notional_position_before_risk_scaling,PORTFOLIO_RISK,N,Y,PARTIAL,Scalar multiply; its validity depends on the subsystem-return correlation structure,INFERRED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
P04_RISK_OVERLAY,systems/risk_overlay.py;systems/portfolio.py:get_risk_scalar,PORTFOLIO_RISK,N,Y,Y,"Portfolio risk/leverage scalar in [0,1] on positions; OFF by default (risk_overlay commented out in defaults.yaml)",INFERRED,N,NOT_DOCUMENTED,VERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
P05_BUFFER_CALC,systems/buffering.py:calculate_buffers,PORTFOLIO_RISK,N,Y,PARTIAL,forecast method: width = 0.1 x |avg position at forecast 10|. B: the static width ignores event entry/exit logic,INFERRED,N,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
P06_BUFFERED_POSITION_SIM,systems/accounts/account_buffering_system.py:get_buffered_position;account_buffering_subsystem.py:apply_buffer,PORTFOLIO_RISK,N,Y,PARTIAL,Path-dependent loop (only stateful step in the backtest). B: holds the last position when inputs are NaN,INFERRED,Y,DOCUMENTED,VERIFIED,N,NOT YET ASSESSED,NOT YET ASSESSED,5
P07_CAPITAL_MULTIPLIER,systems/accounts/account_with_multiplier.py;syscore capital funcs,PORTFOLIO_RISK,N,Y,Y,Scales by capital; independent of the signal,INFERRED,Y,DOCUMENTED,UNVERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
P08_LONG_ONLY,systems/positionsizing.py:_apply_long_only_constraint_to_position,PORTFOLIO_RISK,N,Y,Y,Sets negative positions to 0 per instrument; independent of signal form,INFERRED,N,UNKNOWN,VERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
P09_DYNAMIC_OPTIMISATION,systems/provided/dynamic_small_system_optimise/*,PORTFOLIO_RISK,N,UNKNOWN,UNKNOWN,Alternative portfolio construction; not audited (PARTIALLY AUDITED),UNVERIFIED,UNKNOWN,DOCUMENTED,UNVERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
E01_BACKTEST_PANDL,systems/accounts/pandl_calculators/pandl_calculation.py:calculate_pandl,EXECUTION,N,Y,PARTIAL,"Simulated fill: delayfill shift(1), then shift(1) x price diff. B: no intrabar fills, stops or targets",INFERRED,N,DOCUMENTED,VERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
E02_COST_MODEL,"systems/accounts/pandl_calculators/{pandl_cash_costs,pandl_SR_cost}.py;sysobjects/instruments.py:instrumentCosts",EXECUTION,N,Y,Y,Linear slippage + max(commissions) per fill; roll pseudo-fills; end-of-sample vol deflator. Independent of signal form (quantity is not),INFERRED,N,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
E03_PROD_SYSTEM_RUNNER,sysproduction/strategy_code/run_system_classic.py,EXECUTION,N,Y,PARTIAL,Re-runs the full backtest System daily and stores buffers.iloc[-1]. B: carries A01-A06 behaviour into live,INFERRED,N,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
E04_ORDER_GENERATION,sysexecution/strategies/classic_buffered_positions.py,EXECUTION,N,Y,PARTIAL,Trades to round(buffer edge) when outside the buffer; trade-to-edge hard-coded. B: no event/exit channel,INFERRED,Y,DOCUMENTED,VERIFIED,Y,NOT YET ASSESSED,NOT YET ASSESSED,5
E05_ORDER_STACKS_BROKER,"sysexecution/{order_stacks,stack_handler,algos};sysbrokers/IB/*",EXECUTION,N,Y,Y,Downstream of position targets; independent of the signal,INFERRED,Y,DOCUMENTED,UNVERIFIED,UNKNOWN,NOT YET ASSESSED,NOT YET ASSESSED,5
